,period,future,node,Data,Regressor,Score,Params
0,60,7,dam_Haixihai,Self,Ridge,0.6312121872373648,{'alpha': 0}
1,60,7,dam_Haixihai,Self,SVR,0.589428185343281,"{'C': 20, 'kernel': 'linear'}"
2,60,7,dam_Haixihai,Self,MLP,0.2095180542445727,"{'activation': 'relu', 'hidden_layer_sizes': (128,)}"
3,60,7,dam_Haixihai,Neighborhood,Ridge,0.62634481101898,{'alpha': 0}
4,60,7,dam_Haixihai,Neighborhood,SVR,0.5888282927488562,"{'C': 20, 'kernel': 'linear'}"
5,60,7,dam_Haixihai,Neighborhood,MLP,0.48516052279470956,"{'activation': 'relu', 'hidden_layer_sizes': (128,)}"
6,60,7,dam_Haixihai,Exclusive,Ridge,0.5434974146151417,{'alpha': 0}
7,60,7,dam_Haixihai,Exclusive,SVR,0.5766123651100481,"{'C': 15, 'kernel': 'linear'}"
8,60,7,dam_Haixihai,Exclusive,MLP,0.19750498859905874,"{'activation': 'relu', 'hidden_layer_sizes': (128, 128, 128)}"
9,60,7,dam_Zibihe,Self,Ridge,0.7036903191701818,{'alpha': 0}
10,60,7,dam_Zibihe,Self,SVR,0.6593256034561705,"{'C': 15, 'kernel': 'linear'}"
11,60,7,dam_Zibihe,Self,MLP,0.29512937363816916,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
12,60,7,dam_Zibihe,Neighborhood,Ridge,0.7317717299248151,{'alpha': 0}
13,60,7,dam_Zibihe,Neighborhood,SVR,0.6702780422155412,"{'C': 20, 'kernel': 'linear'}"
14,60,7,dam_Zibihe,Neighborhood,MLP,0.4086142793904459,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
15,60,7,dam_Zibihe,Exclusive,Ridge,0.6565152838277071,{'alpha': 0}
16,60,7,dam_Zibihe,Exclusive,SVR,0.6454744689782191,"{'C': 15, 'kernel': 'linear'}"
17,60,7,dam_Zibihe,Exclusive,MLP,-0.04090654987838116,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
18,60,7,dam_Gongguoqiao,Self,Ridge,0.5738098372554234,{'alpha': 0}
19,60,7,dam_Gongguoqiao,Self,SVR,0.5391528782039802,"{'C': 20, 'kernel': 'linear'}"
20,60,7,dam_Gongguoqiao,Self,MLP,0.29196641445000127,"{'activation': 'relu', 'hidden_layer_sizes': (128, 128, 128)}"
21,60,7,dam_Gongguoqiao,Neighborhood,Ridge,0.5484994430935456,{'alpha': 0}
22,60,7,dam_Gongguoqiao,Neighborhood,SVR,0.5558414974233847,"{'C': 15, 'kernel': 'linear'}"
23,60,7,dam_Gongguoqiao,Neighborhood,MLP,0.22228653731163428,"{'activation': 'relu', 'hidden_layer_sizes': (128, 128, 128)}"
24,60,7,dam_Gongguoqiao,Exclusive,Ridge,-0.06437092870884631,{'alpha': 0}
25,60,7,dam_Gongguoqiao,Exclusive,SVR,-0.1310309978595987,"{'C': 20, 'kernel': 'linear'}"
26,60,7,dam_Gongguoqiao,Exclusive,MLP,-0.9571716557148828,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
27,60,7,dam_Xiaowan,Self,Ridge,0.7437126189611812,{'alpha': 0}
28,60,7,dam_Xiaowan,Self,SVR,0.7171182425710501,"{'C': 15, 'kernel': 'linear'}"
29,60,7,dam_Xiaowan,Self,MLP,0.2977335644366924,"{'activation': 'relu', 'hidden_layer_sizes': (128,)}"
30,60,7,dam_Xiaowan,Neighborhood,Ridge,0.6437955589788757,{'alpha': 0}
31,60,7,dam_Xiaowan,Neighborhood,SVR,0.5021758072164215,"{'C': 15, 'kernel': 'rbf'}"
32,60,7,dam_Xiaowan,Neighborhood,MLP,0.6002164202856091,"{'activation': 'relu', 'hidden_layer_sizes': (128, 128, 128)}"
33,60,7,dam_Xiaowan,Exclusive,Ridge,0.4969292239200579,{'alpha': 0}
34,60,7,dam_Xiaowan,Exclusive,SVR,0.0293466416703293,"{'C': 20, 'kernel': 'rbf'}"
35,60,7,dam_Xiaowan,Exclusive,MLP,0.37459339839094785,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
36,60,7,dam_Manwan,Self,Ridge,0.6735790306078777,{'alpha': 0}
37,60,7,dam_Manwan,Self,SVR,0.6982986554562154,"{'C': 20, 'kernel': 'linear'}"
38,60,7,dam_Manwan,Self,MLP,0.5223000900765308,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
39,60,7,dam_Manwan,Neighborhood,Ridge,0.6939832960292454,{'alpha': 0}
40,60,7,dam_Manwan,Neighborhood,SVR,0.7554264542704314,"{'C': 20, 'kernel': 'linear'}"
41,60,7,dam_Manwan,Neighborhood,MLP,0.23335959394263717,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
42,60,7,dam_Manwan,Exclusive,Ridge,0.5281937776344809,{'alpha': 0}
43,60,7,dam_Manwan,Exclusive,SVR,0.5642421220280907,"{'C': 15, 'kernel': 'linear'}"
44,60,7,dam_Manwan,Exclusive,MLP,0.09699865815552011,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
45,60,7,dam_Dachaoshan,Self,Ridge,0.6944769203207677,{'alpha': 0}
46,60,7,dam_Dachaoshan,Self,SVR,0.7296188989778188,"{'C': 20, 'kernel': 'linear'}"
